brand,username,user_id,fbid,fb_profile_biolink,category_name,is_verified,is_business_account,is_professional_account,biography,external_url,followers,following,posts_count,bio_links_count,profile_pic_url_hd,is_private_detailed,business_type,business_email,city_name,city_id,latitude,longitude,street_address,zip_code,profile_pic_title,result,error_message,profile_pic_scrape_ts
Moutai,moutai.china,1507995284.0,1.7841400818543562e+16,,,False,True,True,Welcome to Kweichow Moutai global official Instagram page. #Toast to A New Classic!,http://www.facebook.com/moutaiglobal/,116390.0,181.0,3028.0,2.0,https://scontent-tpe1-1.cdninstagram.com/v/t51.2885-19/456228137_730604685844497_2561085663554490902_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42NDAuYzIifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QG_dssK06tJU5-7PksSPBoWngLDME1fYbvsm_lVnCa8qVMLlHxRGSJXc2tJej2bEs-AmFx1L6TWnuglYxB1abCk&_nc_ohc=E9C0zDX2LAYQ7kNvwHByLJu&_nc_gid=W4p4yLXE47kDLNqNb_zR7A&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afv9yUwYpEoJKeh7cspLkuRUOl6zxXBHmz7-1VwzZ5DTCA&oe=699FAB9F&_nc_sid=8b3546,False,B2C,,,,,,,,1507995284.0,success,,1771882621
NVIDIA,nvidia,1441655932.0,1.7841401677982524e+16,,,True,True,True,NVIDIA pioneered accelerated computing to tackle challenges no one else can solve. Our work is transforming the world's industries.,https://clicklinkin.bio/nvidia,2539518.0,34.0,2191.0,1.0,https://instagram.frns1-1.fna.fbcdn.net/v/t51.2885-19/456895422_2743699679140980_5418620975244505678_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.frns1-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QG-hFqBO2R21UOKeeHuWvuF43Ti7SJmHXKqld5QMLlUOA2tETT1-QYx0WOsN4wRZlyFE7klM2lITq9CE_wgt-ZO&_nc_ohc=g_c1-szXi5cQ7kNvwE80OaN&_nc_gid=GpC7OlXKvV8cQS83rYVTdQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afs6yhJzXrBVfR5RS_sXiC3gL2ldMrC9hkTlaZg4u6576w&oe=699F94F3&_nc_sid=8b3546,False,B2B,,,,,,,,1441655932.0,success,,1771882621
Shell,shell,588282712.0,1.7841401761369192e+16,,,True,True,True,Connecting people and energy #PoweringProgress⚡️,https://go.shell.com/global,489266.0,29.0,176.0,1.0,https://scontent-icn2-1.cdninstagram.com/v/t51.2885-19/11875495_886647324717974_200210145_a.jpg?efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=scontent-icn2-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QFpv4wQBQrcCLD3pp-2tXjKZt8e2aDOUZAzTE4_yVh4tN1k04AFmqbCsFCyRVF4sOw&_nc_ohc=QvFUqluH3DMQ7kNvwHHeO8i&_nc_gid=vSCXl0a1TVoblftgQK-RLA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afs2ZR4Ot7lAwAJ3cdoPwZDePLCiJbm1phcW6ZM2WfYthw&oe=699C0711&_nc_sid=8b3546,False,B2B,,,,,,,,588282712.0,failed,HTTP 403,1771882621
Siemens,siemens,648766121.0,1.7841401863640136e+16,,,True,True,True,"A technology company focused on industry, infrastructure, mobility, and healthcare. #TransformTheEveryday",https://youtu.be/R4Wm6YdoZSs,320609.0,160.0,656.0,2.0,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/449670369_1254021825580529_5647797183903207625_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDI0LmMyIn0&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QEdnOey6UsYEG4daG6NiEsDMYx-8sb4StRknYODBa4YF-HFpRIOWbe85NY2SFz7i2M&_nc_ohc=2qXoFn34QdgQ7kNvwHNWFFc&_nc_gid=qkDTdgHB2df3n88Fsf6Gxw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfvIbG8LMbNwhu3S_UJOV2ec1Hpz92pcIYcja9_AAy9Fhg&oe=699C01A9&_nc_sid=8b3546,False,B2B,,,,,,,,648766121.0,failed,HTTP 403,1771882622
Telekom / T-Mobile,tmobile,30629815.0,1.7841401134450478e+16,,Telecommunication company,True,True,True,It's better over here.,https://www.t-mobile.com/benefits/live-translation,624053.0,6.0,728.0,3.0,https://instagram.fykz2-1.fna.fbcdn.net/v/t51.2885-19/295548037_588695409534741_5502122790914563096_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzIifQ&_nc_ht=instagram.fykz2-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFs2GzPG1Ckta1rIIxnmX4PaIUSdFM2sM6-Oy1UyF9flGCHWWXWyjrD06b1-Wa_0p0&_nc_ohc=bg7P2G8MXBwQ7kNvwF8UP3n&_nc_gid=vfump2VOTaHAtN8I6cJZVw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfvuVEqDATOyOjb8VmNR9dQ5YG67eYvme0EcWQjm5JvtZQ&oe=699BF4F4&_nc_sid=8b3546,False,B2C,,,,,,,,30629815.0,failed,HTTP 403,1771882622
UnitedHealthcare,unitedhealthcare,2121639359.0,1.7841402140795204e+16,,,True,True,True,Helping people live healthier lives,https://uhc.care/instagram,36821.0,21.0,623.0,1.0,https://instagram.fist7-1.fna.fbcdn.net/v/t51.2885-19/115924309_594318621135930_1072155644089710314_n.jpg?efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=instagram.fist7-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QESTCq8na0W0kdb5AlmEp6PVyq2BgMzduEXIWGA6akAQi7R0cQ1J0-OMfh9Ocvnm0U&_nc_ohc=BfkmI5nSk7wQ7kNvwGcISoe&_nc_gid=vcjJXpkKi2m2IVXk78SbGw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfsIkRTBXlxOkiikYrauMj5Bg-1LR7UaAVh-LPHAnl07ZQ&oe=699BEBC9&_nc_sid=8b3546,False,B2C,,"Minnetonka, Minnesota",109533479072558.0,44.932,-93.4616,,,2121639359.0,failed,HTTP 403,1771882623
Walmart,walmart,391362994.0,1.7841400089826116e+16,,,True,True,True,Save money. Live better.,https://walmrt.us/instagram,3780258.0,192.0,3645.0,2.0,https://instagram.fbcn5-2.fna.fbcdn.net/v/t51.2885-19/602169355_18557587954002995_725323950589231011_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbcn5-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QHufob6w-oBMyf5ngmNGI_15qN5rZ5m6Uf-yirUEiFL8KO5p93917eu3LWu8i21sm8&_nc_ohc=ksfVsspjnZIQ7kNvwG7st_A&_nc_gid=yak0djkpkbyhoBusM2J_PQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfultGwUSOo_q4P6hhAhVonfQqJ_QOcVW-fE5VjVIQr4vA&oe=699F947A&_nc_sid=8b3546,False,B2C,,,,,,,,391362994.0,success,,1771882623
adidas,adidas,20269764.0,1.7841401372920316e+16,,Product/service,True,True,True,#YouGotThis,https://linktr.ee/adidas,29478634.0,1017.0,1389.0,1.0,https://scontent-mia5-1.cdninstagram.com/v/t51.2885-19/564201508_18563819479045765_7618693513437726799_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42NjMuYzIifQ&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QEZ_KyV6cIt9qF96VPRJEAuYst9YPhYMxWQg6nc6ZUq5u0T0tHeKkEBg7v35iXmjS4&_nc_ohc=6yEVa3R7Y08Q7kNvwGu3LPU&_nc_gid=CmUsrlgFHphNvGFPKnO7lQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfpiGucXTlG3Epa6pNucEm6zYBXMUJiWIMvf_CwmHr9jZg&oe=697D8B44&_nc_sid=8b3546,False,B2C,,Herzogenaurach,103722796333028.0,49.5831932,10.9094251,Adi-Dassler-Str. 1,91074.0,20269764.0,failed,HTTP 403,1771882623
Nike,nike,13460080.0,1.784140060240021e+16,,,True,True,True,Just Do It.,http://empli.fi/nike,298163602.0,239.0,1670.0,1.0,https://scontent-itm1-1.cdninstagram.com/v/t51.2885-19/551608484_18567162979020081_1135468084872726555_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zOTkuYzIifQ&_nc_ht=scontent-itm1-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QFwx_tlSRI8Ml0mgj3JHS12-hoAPrM0mZ6xC2DSuiuf2qxllV5xtwYp-i0ngA4P_aPyZ7N13bfIjl6jN7qacJqj&_nc_ohc=430b-LkjUyMQ7kNvwF3kJoF&_nc_gid=M58eAWNq1DQd8MqymRS_VA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfpcptRYjfMQwUptPOulwpUaPHALIuqEJcAAhItnBBlNlw&oe=697D83B0&_nc_sid=8b3546,False,B2C,,"Beaverton, Oregon",108410602520455.0,45.5076448,-122.8269159,One Bowerman Dr,97005.0,13460080.0,failed,HTTP 403,1771882624
BMW,bmw,43109246.0,1.7841401117380672e+16,,,True,True,True,"The official #BMW account, home of Sheer Driving Pleasure.
Use #BMWRepost for the chance to get featured.",https://www.bmwgroup.com/en.html,43551002.0,77.0,13251.0,3.0,https://scontent-mia5-2.cdninstagram.com/v/t51.2885-19/449635193_1146137563331364_2194691904231197510_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDUyLmMxIn0&_nc_ht=scontent-mia5-2.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QFDbLyTHCEJ9fFxL1enmjvCqvtsBMs9BFEzbByUMkIUg-QSKz25TjtEcr_6i9TYYoBahpW2M5BGu0C-vqOOToYo&_nc_ohc=8ltwI9KgFr0Q7kNvwHk2d3m&_nc_gid=8lpKnSfVdW7Y52AJ41IHvQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfszckBDt92hhC7D_MT3qBUOtzShUgfWqliRTQ0wcFYakQ&oe=698A5951&_nc_sid=8b3546,False,B2C,,,,,,,,43109246.0,failed,HTTP 403,1771882624
