run_id,user_id,username,brand,started_at,ended_at,status,pages_fetched,posts_fetched,error_type,error_message,raw_files
20260218_151305,524549267,microsoft,Microsoft,2026-02-18T15:13:05.928030,2026-02-18T15:19:43.206974,success,14,1304,,,microsoft_20260218_151305_page1.json;microsoft_20260218_151305_page2.json;microsoft_20260218_151305_page3.json;microsoft_20260218_151305_page4.json;microsoft_20260218_151305_page5.json;microsoft_20260218_151305_page6.json;microsoft_20260218_151305_page7.json;microsoft_20260218_151305_page8.json;microsoft_20260218_151305_page9.json;microsoft_20260218_151305_page10.json;microsoft_20260218_151305_page11.json;microsoft_20260218_151305_page12.json;microsoft_20260218_151305_page13.json;microsoft_20260218_151305_page14.json
20260218_151943,1067259270,google,Google,2026-02-18T15:19:43.237554,2026-02-18T15:20:06.678676,partial,1,100,daily_quota_exhausted,495 Client Error:  for url: https://ensembledata.com/apis/instagram/user/posts?user_id=1067259270&depth=10&chunk_size=10&start_cursor=QVFENU1aQlFTX1d3dmdMRkRpSl96OWQtSFdHd2l6M1NVdXJYa3dpTHhqOWI4SVN3a3lsMUxaZ2tKWC16azZydFNwd1h0THREUTlxM3lEbHB4T0xnaXJjaA%3D%3D&alternative_method=False&token=vKLIay8miZKARJKU,google_20260218_151943_page1.json;google_20260218_151943_page2_ERROR.json
20260218_152006,8482988871,googlepixel,Google,2026-02-18T15:20:06.688068,2026-02-18T15:20:06.869097,failed,0,0,daily_quota_exhausted,495 Client Error:  for url: https://ensembledata.com/apis/instagram/user/posts?user_id=8482988871&depth=10&chunk_size=10&start_cursor=&alternative_method=False&token=vKLIay8miZKARJKU,googlepixel_20260218_152006_page1_ERROR.json
20260218_152006,4512854723,madebygoogle,Google,2026-02-18T15:20:06.878526,2026-02-18T15:20:07.030101,failed,0,0,daily_quota_exhausted,495 Client Error:  for url: https://ensembledata.com/apis/instagram/user/posts?user_id=4512854723&depth=10&chunk_size=10&start_cursor=&alternative_method=False&token=vKLIay8miZKARJKU,madebygoogle_20260218_152006_page1_ERROR.json
20260218_152007,2160231852,deutschetelekom,Deutsche Telekom,2026-02-18T15:20:07.034185,2026-02-18T15:20:07.198105,failed,0,0,daily_quota_exhausted,495 Client Error:  for url: https://ensembledata.com/apis/instagram/user/posts?user_id=2160231852&depth=10&chunk_size=10&start_cursor=&alternative_method=False&token=vKLIay8miZKARJKU,deutschetelekom_20260218_152007_page1_ERROR.json
20260218_152007,25025320,instagram,Instagram,2026-02-18T15:20:07.204153,2026-02-18T15:20:07.341434,failed,0,0,daily_quota_exhausted,495 Client Error:  for url: https://ensembledata.com/apis/instagram/user/posts?user_id=25025320&depth=10&chunk_size=10&start_cursor=&alternative_method=False&token=vKLIay8miZKARJKU,instagram_20260218_152007_page1_ERROR.json
20260218_152007,2121639359,unitedhealthcare,UnitedHealthcare,2026-02-18T15:20:07.344218,2026-02-18T15:20:07.479942,failed,0,0,daily_quota_exhausted,495 Client Error:  for url: https://ensembledata.com/apis/instagram/user/posts?user_id=2121639359&depth=10&chunk_size=10&start_cursor=&alternative_method=False&token=vKLIay8miZKARJKU,unitedhealthcare_20260218_152007_page1_ERROR.json
20260219_093335,48808232146,jpmorganprivatebank,J.P. Morgan,2026-02-19T09:33:35.608855,2026-02-19T09:34:05.879962,failed,0,0,unknown,"HTTPSConnectionPool(host='ensembledata.com', port=443): Read timed out. (read timeout=30)",jpmorganprivatebank_20260219_093335_page1_ERROR.json
20260219_095345,588282712,shell,Shell,2026-02-19T09:53:45.627618,2026-02-19T09:54:06.060052,success,1,100,,,shell_20260219_095345_page1.json
20260219_101239,1815950256,aramco,Aramco,2026-02-19T10:12:39.561328,2026-02-19T10:13:07.970053,success,1,100,,,aramco_20260219_101239_page1.json
20260220_075308,2121639359,unitedhealthcare,UnitedHealthcare,2026-02-20T07:53:08.938164,2026-02-20T07:53:32.168227,success,1,100,,,unitedhealthcare_20260220_075308_page1.json
20260220_075332,214036577,allianz,Allianz,2026-02-20T07:53:32.174623,2026-02-20T07:53:51.148906,success,1,100,,,allianz_20260220_075332_page1.json
20260220_075351,2160231852,deutschetelekom,Deutsche Telekom,2026-02-20T07:53:51.151134,2026-02-20T07:54:21.620271,success,1,100,,,deutschetelekom_20260220_075351_page1.json
20260220_075421,2866331,deloitte,Deloitte,2026-02-20T07:54:21.622899,2026-02-20T07:54:57.176420,success,1,100,,,deloitte_20260220_075421_page1.json
20260220_075457,1437392412,amazonwebservices,Amazon Web Services,2026-02-20T07:54:57.179843,2026-02-20T07:55:34.565246,success,1,100,,,amazonwebservices_20260220_075457_page1.json
20260220_075534,648766121,siemens,Siemens,2026-02-20T07:55:34.567887,2026-02-20T07:55:55.785162,success,1,100,,,siemens_20260220_075534_page1.json
20260220_075555,30629815,tmobile,Telekom / T-Mobile,2026-02-20T07:55:55.796192,2026-02-20T07:56:19.634982,success,1,100,,,tmobile_20260220_075555_page1.json
20260221_102418,391362994,walmart,Walmart,2026-02-21T10:24:18.749820,2026-02-21T10:25:01.374803,success,1,100,,,walmart_20260221_102418_page1.json
20260221_102501,1441655932,nvidia,NVIDIA,2026-02-21T10:25:01.381248,2026-02-21T10:25:23.283230,success,1,100,,,nvidia_20260221_102501_page1.json
20260221_102523,249655166,cocacola,Coca-Cola,2026-02-21T10:25:23.284979,2026-02-21T10:26:02.298440,success,1,100,,,cocacola_20260221_102523_page1.json
20260221_102602,18343150,mcdonalds,McDonald,2026-02-21T10:26:02.317506,2026-02-21T10:26:32.308706,success,1,100,,,mcdonalds_20260221_102602_page1.json
20260221_102632,1323766664,lorealparis,Loreal,2026-02-21T10:26:32.311212,2026-02-21T10:27:13.948758,success,1,100,,,lorealparis_20260221_102632_page1.json
20260221_102713,1507995284,moutai.china,Moutai,2026-02-21T10:27:13.955613,2026-02-21T10:27:48.684336,success,1,100,,,moutai.china_20260221_102713_page1.json
